| default                                                           | us-east-1  |
| AWSServiceRoleForApplicationAutoScaling_DynamoDBTable             | us-east-1  |
| AstraSandBoxCrossAccount                                          | us-east-1  |
| astra-aws-dome9-EventParserRole-58E992186FE9                      | us-east-1  |
| astra-aws-dome9-accounts-AccountManagerRole-4D27F73AA8D7          | us-east-1  |
| astra-aws-dome9-compliance-AlertForwarderRole-4F018C4F9B7D        | us-east-1  |
| astra-aws-dome9-compliance-AlertsFilterRole-4606E4313F3C         | us-east-1  |
| astra-aws-dome9-compliance-CloudSupervisorRole-DD16255FD68B       | us-east-1  |
| astra-aws-dome9-compliance-InventoryCollectorRole-FB1C02BD3B92    | us-east-1  |
| astra-aws-dome9-compliance-RemediatorRole-89E997857FDF            | us-east-1  |
| astra-aws-dome9-compliance-SchedulerRole-02F57419DBEE             | us-east-1  |
| astra-aws-dome9-es-indexer-AstraD9ESIndexerRole-A5817F6D0474      | us-east-1  |
| astra-aws-dome9-ses-notif-AstraAccountNotifierRole-04472EADAD5F   | us-east-1  |
| astra-aws-ecomp-workload-AstraAWSEcompWorkloadIns-9CEF8CFB96F7    | us-east-1  |
| astra-aws-es-optimizer-AstraAWSESOptimizerRole-95499A613483       | us-east-1  |
| astra-aws-inspector-summa-AstraAWSInspectorSummary-97638A505895   | us-east-1  |
| astra-aws-lumberjack-LogRole-912C7DFD4F8F                         | us-east-1  |
| astra-aws-lumberjack-S3deliveryRole-FAFB29516087                  | us-east-1  |
| astra-aws-lumberjack-firehoseLambdaRole-71AC141D843D              | us-east-1  |
| astra-aws-lumberjack-stormLambdaRole-7DE66878D95C                 | us-east-1  |
| astra-aws-report-schedule-AstraAWSReportSchedulerR-8AA429C537D3  | us-east-1  |
| astra-aws-report-schedule-AstraAWSReportSchedulerR-8CA4B0DF43E4  | us-east-1  |
| astra-aws-workload-inspec-AstraAWSWorkloadInspecto-4175056BF587  | us-east-1  |
| astra-aws-workload-svm-re-AstraLambdaGetSvmSummari-2863D52E9945  | us-east-1  |
| astra-aws-workload-svm-re-AstraLambdaGetSvmSummari-3A3661B45B93  | us-east-1  |
| astra-aws-workload-svm-report-AstraLambdaSvmWorker-4CF3CF66F239  | us-east-1  |
| astra-aws-workload-svm-report-AstraLambdaSvmWorker-4BA80B76D646  | us-east-1  |
| astra-es-remodeller-AstraESRemodellerRole-A970D41312B4            | us-east-1  |
| test1-us-east-2 | us-east-2 |
| test2-us-east-2 | us-east-2 |
| test3-us-east-2 | us-east-2 |
| test1-us-west-1 | us-west-1 |
| test2-us-west-1 | us-west-1 |
| test3-us-west-1 | us-west-1 |
| test1-eu-west-2 | eu-west-2 |
| test2-eu-west-2 | eu-west-2 |
| test3-eu-west-2 | eu-west-2 |
