| AssumeRole                          | {"eventVersion":"1.05","userIdentity":{"type":"AssumedRole","principalId":"%PRINCIPAL_ID%","arn":"%ARN%","accountId":"%ACCOUNTID%","accessKeyId":"ASIATXMPF4TY2G6BGH6I","sessionContext":{"attributes":{"mfaAuthenticated":"false","creationDate":"%TS%"},"sessionIssuer":{"type":"Role","principalId":"%PRINCIPAL_ID%","arn":"%SESSION_ARN%","accountId":"%ACCOUNTID%","userName":"%USERNAME%"}}},"eventTime":"%TS%","eventSource":"sts.amazonaws.com","eventName":"AssumeRole","awsRegion":"%AWS_REGION%","sourceIPAddress":"%SRC_IP%","userAgent":"aws-sdk-nodejs/2.290.0 linux/v8.10.0 exec-env/AWS_Lambda_nodejs8.10 promise","requestParameters":{"roleArn":"%ROLE_ARN%","roleSessionName":"astra_security_group_inbound_not_public","policy":"{\"Version\":\"2012-10-17\",\"Statement\":[{\"Sid\":\"Write835081066842\",\"Effect\":\"Allow\",\"Action\":[\"ec2:AuthorizeSecurityGroupIngress\",\"ec2:RevokeSecurityGroupIngress\",\"ec2:UpdateSecurityGroupRuleDescriptionsIngress\",\"ec2:CreateTags\"],\"Resource\":\"arn:aws:ec2:us-east-1:835081066842:security-group/sg-0b2b023d93938bb3c\"},{\"Sid\":\"Describe835081066842\",\"Effect\":\"Allow\",\"Action\":[\"ec2:DescribeSecurityGroups\"],\"Resource\":\"*\"}]}","externalId":"astra"},"responseElements":{"packedPolicySize":45,"credentials":{"accessKeyId":"ASIA4E3VV3FNC2LTYG54","expiration":"Sep 1, 2018 1:31:13 AM","sessionToken":"FQoGZXIvYXdzEPr//////////wEaDFr7Em/iPTrUp3z3uiLOA12v2UMwz8jgYzNGZWc60D/vtz+p7ioLBW2yJ4mgIUMwiJ7GW5VW8PefOiNbcTx2ldpRHDuhmmdpGlm9qgoiw2DyU/2KnsI98HEYo0aAKT55B2p8b8WgN7gg/rP+qKNaTsORVghEgZek4SCXVxBttjOhO/Q0rz6gb3tp1wEdV9qyGwVE3llLTsqkIP3KexJClRMdidNCm9ktCsYt/mlNDiuImDFQDKTWPbCmFs3ZpvGz796CVomtJDi1rLFSgSWuOLQfcaUQzh9BJ+n0J/w7kzyvElj+k/ypbffX+kW1CbIemT8NMZdAw0hmLthh+UF+uS9UzvTldkwquCnYiRkPbCiEPZlv1+uM/5CibvscbH5/5LjcKRpFRdyyHfN3bzcRy85D67UD97NShyUwDMQojxhe+zYofsEsv3vqJQAoHGGSz1BS6FTKh5le6BLYxowyoJ4ePCiqcxnBZgPkG7p9H4G3TJqpKgHYMUpjzcQUmGqfagbuDfWC4Je2mhTrN2f5JAM+joOACWeV1GfnRena98R9UVIMBPlx7mYaoikIGrY425XQqR5bTBUJA5Ip+NRS9uPoKQOpN9i3uA7Py539N8URIKRkcg7i0h4+aG3nZyjRu6fcBQ=="},"assumedRoleUser":{"assumedRoleId":"AROAIFY62RNQR2F4UJ7ZM:astra_security_group_inbound_not_public","arn":"%ASSU_ARN%"}},"requestID":"%REQUEST_ID%","eventID":"%EVENT_ID%","resources":[{"ARN":"%RES_ARN%","accountId":"%ACCOUNTID%","type":"AWS::IAM::Role"}],"eventType":"AwsApiCall","recipientAccountId":"%ACCOUNTID%","sharedEventID":"f453009e-9fbd-40c7-9e09-1ccb3164ab8f","MOTS":["12345","98798"]} |
| CreateLogStream                     | {"eventVersion":"1.04","userIdentity":{"type":"AssumedRole","principalId":"%PRINCIPAL_ID%","arn":"%ARN%","accountId":"%ACCOUNTID%","accessKeyId":"ASIATXMPF4TY2GBTP26R","sessionContext":{"attributes":{"mfaAuthenticated":"false","creationDate":"%TS%"},"sessionIssuer":{"type":"Role","principalId":"%PRINCIPAL_ID%","arn":"%SESSION_ARN%","accountId":"%ACCOUNTID%","userName":"%USERNAME%"}}},"eventTime":"%TS%","eventSource":"logs.amazonaws.com","eventName":"CreateLogStream","awsRegion":"%AWS_REGION%","sourceIPAddress":"%SRC_IP%","userAgent":"awslambda-worker","requestParameters":{"logStreamName":"2018/08/20/[$LATEST]8a232cfbb7314e879a718ec45003a784","logGroupName":"/aws/lambda/astra-aws-lumberjack-firehoseLambdaFunction-ORS630AH61DO"},"responseElements":null,"requestID":"%REQUEST_ID%","eventID":"%EVENT_ID%","eventType":"AwsApiCall","recipientAccountId":"256387704049","MOTS":["12345","98798"],"apiVersion":"20140328"} |
| Decrypt                             | {"eventVersion":"1.05","userIdentity":{"type":"AssumedRole","principalId":"%PRINCIPAL_ID%","arn":"%ARN%","accountId":"%ACCOUNTID%","accessKeyId":"ASIATXMPF4TY27QVQQOA","sessionContext":{"attributes":{"mfaAuthenticated":"false","creationDate":"%TS%"},"sessionIssuer":{"type":"Role","principalId":"%PRINCIPAL_ID%","arn":"%SESSION_ARN%","accountId":"%ACCOUNTID%","userName":"%USERNAME%"}}},"eventTime":"%TS%","eventSource":"kms.amazonaws.com","eventName":"Decrypt","awsRegion":"%AWS_REGION%","sourceIPAddress":"%SRC_IP%","userAgent":"aws-internal/3 aws-sdk-java/1.11.354 Linux/4.14.51-60.38.amzn1.x86_64 Java_HotSpot(TM)_64-Bit_Server_VM/25.172-b31 java/1.8.0_172","requestParameters":{"encryptionContext":{"aws:lambda:FunctionArn":"arn:aws:lambda:us-east-1:256387704049:function:astra-aws-lumberjack-firehoseLambdaFunction-ORS630AH61DO"}},"responseElements":null,"requestID":"%REQUEST_ID%","eventID":"%EVENT_ID%","eventType":"AwsApiCall","recipientAccountId":"256387704049","MOTS":["12345","98798"],"readOnly":true,"resources":[{"ARN":"%ARN%","accountId":"%ACCOUNTID%","type":"AWS::KMS::Key"}]} |
| DescribeAlarms                      | {"eventVersion":"1.04","userIdentity":{"type":"AssumedRole","principalId":"%PRINCIPAL_ID%","arn":"%ARN%","accountId":"%ACCOUNTID%","accessKeyId":"ASIATXMPF4TYVLC5FRF2","sessionContext":{"attributes":{"mfaAuthenticated":"true","creationDate":"%TS%"},"sessionIssuer":{"type":"Role","principalId":"%PRINCIPAL_ID%","arn":"%SESSION_ARN%","accountId":"%ACCOUNTID%","userName":"%USERNAME%"}}},"eventTime":"%TS%","eventSource":"monitoring.amazonaws.com","eventName":"DescribeAlarms","awsRegion":"%AWS_REGION%","sourceIPAddress":"%SRC_IP%","userAgent":"AWS CloudWatch Console","requestParameters":{"stateValue":"INVALID_FOR_SUMMARY"},"responseElements":null,"requestID":"%REQUEST_ID%","eventID":"%EVENT_ID%","eventType":"AwsApiCall","recipientAccountId":"%ACCOUNTID%","MOTS":["12345","98798"],"errorCode":"ValidationException","errorMessage":"1 validation error detected: Value 'INVALID_FOR_SUMMARY' at 'stateValue' failed to satisfy constraint: Member must satisfy enum value set: [INSUFFICIENT_DATA, ALARM, OK]"} |
| DescribePolicies                    | {"eventVersion":"1.05","userIdentity":{"type":"AssumedRole","principalId":"%PRINCIPAL_ID%","arn":"%ARN%","accountId":"%ACCOUNTID%","accessKeyId":"ASIATXMPF4TYZLE4COCW","sessionContext":{"attributes":{"mfaAuthenticated":"true","creationDate":"%TS%"},"sessionIssuer":{"type":"Role","principalId":"%PRINCIPAL_ID%","arn":"%SESSION_ARN%","accountId":"%ACCOUNTID%","userName":"%USERNAME%"}}},"eventTime":"%TS%","eventSource":"autoscaling.amazonaws.com","eventName":"DescribePolicies","awsRegion":"%AWS_REGION%","sourceIPAddress":"%SRC_IP%","userAgent":"AWS CloudWatch Console","requestParameters":{"maxRecords":50},"responseElements":null,"requestID":"%REQUEST_ID%","eventID":"%EVENT_ID%","eventType":"AwsApiCall","recipientAccountId":"%ACCOUNTID%","MOTS":["12345","98798"]} |
| DescribeReservedCapacity            | {"eventVersion":"1.05","userIdentity":{"type":"AssumedRole","principalId":"%PRINCIPAL_ID%","arn":"%ARN%","accountId":"%ACCOUNTID%","accessKeyId":"ASIATXMPF4TYS5Z6E5YD","sessionContext":{"attributes":{"mfaAuthenticated":"true","creationDate":"%TS%"},"sessionIssuer":{"type":"Role","principalId":"%PRINCIPAL_ID%","arn":"%SESSION_ARN%","accountId":"%ACCOUNTID%","userName":"%USERNAME%"}}},"eventTime":"%TS%","eventSource":"dynamodb.amazonaws.com","eventName":"DescribeReservedCapacity","awsRegion":"%AWS_REGION%","sourceIPAddress":"%SRC_IP%","userAgent":"console.amazonaws.com","requestParameters":null,"responseElements":null,"requestID":"%REQUEST_ID%","eventID":"%EVENT_ID%","eventType":"AwsApiCall","recipientAccountId":"%ACCOUNTID%","MOTS":["12345","98798"],"apiVersion":"2012-08-10"} |
| DescribeScalableTargets             | {"eventVersion":"1.05","userIdentity":{"type":"AssumedRole","principalId":"%PRINCIPAL_ID%","arn":"%ARN%","accountId":"%ACCOUNTID%","accessKeyId":"ASIATXMPF4TYS5Z6E5YD","sessionContext":{"attributes":{"mfaAuthenticated":"true","creationDate":"%TS%"},"sessionIssuer":{"type":"Role","principalId":"%PRINCIPAL_ID%","arn":"%SESSION_ARN%","accountId":"%ACCOUNTID%","userName":"%USERNAME%"}}},"eventTime":"%TS%","eventSource":"autoscaling.amazonaws.com","eventName":"DescribeScalableTargets","awsRegion":"%AWS_REGION%","sourceIPAddress":"%SRC_IP%","userAgent":"console.amazonaws.com","requestParameters":{"serviceNamespace":"dynamodb","resourceIds":["table/astra-aws-account-manager-Table-1V75C7GCD4Z11","table/astra-aws-inventory-manager-Table-OXWLDRNRZHAD","table/EcompAccountsTable"]},"responseElements":null,"requestID":"%REQUEST_ID%","eventID":"%EVENT_ID%","eventType":"AwsApiCall","recipientAccountId":"%ACCOUNTID%","MOTS":["12345","98798"],"additionalEventData":{"service":"application-autoscaling"}} |
| DescribeScalingPolicies             | {"eventVersion":"1.05","userIdentity":{"type":"AssumedRole","principalId":"%PRINCIPAL_ID%","arn":"%ARN%","accountId":"%ACCOUNTID%","accessKeyId":"ASIATXMPF4TYZLE4COCW","sessionContext":{"attributes":{"mfaAuthenticated":"true","creationDate":"%TS%"},"sessionIssuer":{"type":"Role","principalId":"%PRINCIPAL_ID%","arn":"%SESSION_ARN%","accountId":"%ACCOUNTID%","userName":"%USERNAME%"}}},"eventTime":"%TS%","eventSource":"autoscaling.amazonaws.com","eventName":"DescribeScalingPolicies","awsRegion":"%AWS_REGION%","sourceIPAddress":"%SRC_IP%","userAgent":"AWS CloudWatch Console","requestParameters":{"serviceNamespace":"ecs","maxResults":50},"responseElements":null,"requestID":"%REQUEST_ID%","eventID":"%EVENT_ID%","eventType":"AwsApiCall","recipientAccountId":"%ACCOUNTID%","MOTS":["12345","98798"],"additionalEventData":{"service":"application-autoscaling"}} |
| DescribeStream                      | {"eventVersion":"1.05","userIdentity":{"type":"AssumedRole","principalId":"%PRINCIPAL_ID%","arn":"%ARN%","accountId":"%ACCOUNTID%","accessKeyId":"ASIATXMPF4TY25F2J57L","sessionContext":{"attributes":{"mfaAuthenticated":"false","creationDate":"%TS%"},"sessionIssuer":{"type":"Role","principalId":"%PRINCIPAL_ID%","arn":"%SESSION_ARN%","accountId":"%ACCOUNTID%","userName":"%USERNAME%"}},"invokedBy":"firehose.amazonaws.com"},"eventTime":"%TS%","eventSource":"kinesis.amazonaws.com","eventName":"DescribeStream","awsRegion":"%AWS_REGION%","sourceIPAddress":"%SRC_IP%","userAgent":"firehose.amazonaws.com","requestParameters":{"streamName":"astra-aws-lumberjack-Stream","limit":1},"responseElements":null,"requestID":"%REQUEST_ID%","eventID":"%EVENT_ID%","eventType":"AwsApiCall","recipientAccountId":"%ACCOUNTID%","MOTS":["12345","98798"]} |
| DescribeTable                       | {"eventVersion":"1.05","userIdentity":{"type":"AssumedRole","principalId":"%PRINCIPAL_ID%","arn":"%ARN%","accountId":"%ACCOUNTID%","accessKeyId":"ASIATXMPF4TY22C4OS4J","sessionContext":{"attributes":{"mfaAuthenticated":"false","creationDate":"%TS%"},"sessionIssuer":{"type":"Role","principalId":"%PRINCIPAL_ID%","arn":"%SESSION_ARN%","accountId":"%ACCOUNTID%","userName":"%USERNAME%"}},"invokedBy":"dynamodb.application-autoscaling.amazonaws.com"},"eventTime":"%TS%","eventSource":"dynamodb.amazonaws.com","eventName":"DescribeTable","awsRegion":"%AWS_REGION%","sourceIPAddress":"%SRC_IP%","userAgent":"dynamodb.application-autoscaling.amazonaws.com","requestParameters":{"tableName":"astra-aws-account-manager-Table-1V75C7GCD4Z11"},"responseElements":null,"requestID":"%REQUEST_ID%","eventID":"%EVENT_ID%","eventType":"AwsApiCall","recipientAccountId":"%ACCOUNTID%","MOTS":["12345","98798"],"apiVersion":"2012-08-10"} |
